Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Alameda County,0.135
2020,June,CA,Alpine County,0.189
2020,June,CA,Amador County,0.127
2020,June,CA,Butte County,0.122
2020,June,CA,Calaveras County,0.11
2020,June,CA,Colusa County,0.184
2020,June,CA,Contra Costa County,0.134
2020,June,CA,Del Norte County,0.125
2020,June,CA,El Dorado County,0.128
2020,June,CA,Fresno County,0.145
2020,June,CA,Glenn County,0.128
2020,June,CA,Humboldt County,0.117
2020,June,CA,Imperial County,0.274
2020,June,CA,Inyo County,0.11
2020,June,CA,Kern County,0.175
2020,June,CA,Kings County,0.144
2020,June,CA,Lake County,0.142
2020,June,CA,Lassen County,0.094
2020,June,CA,Los Angeles County,0.196
2020,June,CA,Los Angeles County,0.194
2020,June,CA,Madera County,0.139
2020,June,CA,Marin County,0.101
2020,June,CA,Mariposa County,0.141
2020,June,CA,Mendocino County,0.124
2020,June,CA,Merced County,0.156
2020,June,CA,Modoc County,0.098
2020,June,CA,Mono County,0.247
2020,June,CA,Monterey County,0.144
2020,June,CA,Napa County,0.126
2020,June,CA,Nevada County,0.131
2020,June,CA,Orange County,0.136
2020,June,CA,Placer County,0.111
2020,June,CA,Plumas County,0.137
2020,June,CA,Riverside County,0.147
2020,June,CA,Sacramento County,0.136
2020,June,CA,San Benito County,0.137
2020,June,CA,San Bernardino County,0.138
2020,June,CA,San Diego County,0.138
2020,June,CA,San Francisco County,0.125
2020,June,CA,San Joaquin County,0.158
2020,June,CA,San Luis Obispo County,0.115
2020,June,CA,San Mateo County,0.108
2020,June,CA,Santa Barbara County,0.115
2020,June,CA,Santa Clara County,0.107
2020,June,CA,Santa Cruz County,0.131
2020,June,CA,Shasta County,0.115
2020,June,CA,Sierra County,0.113
2020,June,CA,Siskiyou County,0.124
2020,June,CA,Solano County,0.136
2020,June,CA,Sonoma County,0.116
2020,June,CA,Stanislaus County,0.15
2020,June,CA,Sutter County,0.15
2020,June,CA,Tehama County,0.118
2020,June,CA,Trinity County,0.096
2020,June,CA,Tulare County,0.171
2020,June,CA,Tuolumne County,0.143
2020,June,CA,Ventura County,0.126
2020,June,CA,Yolo County,0.105
2020,June,CA,Yuba County,0.143
2020,June,CA,Anaheim-Santa Ana-Irvine MD,0.136
2020,June,CA,Bakersfield MSA,0.175
2020,June,CA,Chico MSA,0.122
2020,June,CA,El Centro MSA,0.274
2020,June,CA,Fresno MSA,0.145
2020,June,CA,Hanford-Corcoran MSA,0.144
2020,June,CA,Los Angeles-Long Beach-Glendale MD,0.196
2020,June,CA,Los Angeles-Long Beach-Glendale MD,0.194
2020,June,CA,Madera MSA,0.139
2020,June,CA,Merced MSA,0.156
2020,June,CA,Modesto MSA,0.15
2020,June,CA,Napa MSA,0.126
2020,June,CA,Oakland-Hayward-Berkeley MD,0.135
2020,June,CA,Oxnard-Thousand Oaks-Ventura MSA,0.126
2020,June,CA,Redding MSA,0.115
2020,June,CA,Riverside-San Bernardino-Ontario MSA,0.143
2020,June,CA,Sacramento--Roseville--Arden-Arcade MSA,0.128
2020,June,CA,Salinas MSA,0.144
2020,June,CA,San Diego-Carlsbad MSA,0.138
2020,June,CA,San Francisco-Redwood City-South San Francisco MD,0.118
2020,June,CA,San Jose-Sunnyvale-Santa Clara MSA,0.108
2020,June,CA,San Luis Obispo-Paso Robles-Arroyo Grande MSA,0.115
2020,June,CA,San Rafael MD,0.101
2020,June,CA,Santa Cruz-Watsonville MSA,0.131
2020,June,CA,Santa Maria-Santa Barbara MSA,0.115
2020,June,CA,Santa Rosa MSA,0.116
2020,June,CA,Stockton-Lodi MSA,0.158
2020,June,CA,Vallejo-Fairfield MSA,0.136
2020,June,CA,Visalia-Porterville MSA,0.171
2020,June,CA,Yuba City MSA,0.147
2020,June,CA,Acton CDP,0.153
2020,June,CA,Adelanto city,0.207
2020,June,CA,Agoura Hills city,0.166
2020,June,CA,Alameda city,0.135
2020,June,CA,Alamo CDP,0.081
2020,June,CA,Albany city,0.116
2020,June,CA,Alhambra city,0.217
2020,June,CA,Aliso Viejo city,0.116
2020,June,CA,Alondra Park CDP,0.258
2020,June,CA,Alpaugh CDP,0.344
2020,June,CA,Alpine Village CDP,0
2020,June,CA,Altadena CDP,0.152
2020,June,CA,Alta Sierra CDP,0.07
2020,June,CA,Alturas city,0.11
2020,June,CA,Amador City city,0.158
2020,June,CA,American Canyon city,0.161
2020,June,CA,Anaheim city,0.163
2020,June,CA,Anderson city,0.106
2020,June,CA,Angels City city,0.004
2020,June,CA,Angwin CDP,0.117
2020,June,CA,Antioch city,0.171
2020,June,CA,Apple Valley town,0.129
2020,June,CA,Aptos CDP,0.047
2020,June,CA,Aptos Hills Larkin Valley CDP,0.199
2020,June,CA,Arbuckle CDP,0.231
2020,June,CA,Arcadia city,0.164
2020,June,CA,Arcata city,0.171
2020,June,CA,Arden Arcade CDP,0.171
2020,June,CA,Armona CDP,0.184
2020,June,CA,Arnold CDP,0.138
2020,June,CA,Aromas CDP (Monterey Co),0.108
2020,June,CA,Arroyo Grande city,0.101
2020,June,CA,Artesia city,0.165
2020,June,CA,Arvin city,0.166
2020,June,CA,Ashland CDP,0.202
2020,June,CA,Atascadero city,0.107
2020,June,CA,Atherton town,0.118
2020,June,CA,Atwater city,0.152
2020,June,CA,Auberry CDP,0.089
2020,June,CA,Auburn city,0.121
2020,June,CA,August CDP,0.283
2020,June,CA,Avalon city,0.02
2020,June,CA,Avenal city,0.218
2020,June,CA,Avery CDP,0.22
2020,June,CA,Avocado Heights CDP,0.233
2020,June,CA,Azusa city,0.171
2020,June,CA,Bakersfield city,0.164
2020,June,CA,Baldwin Park city,0.207
2020,June,CA,Banning city,0.172
2020,June,CA,Barstow city,0.182
2020,June,CA,Bay Point CDP,0.22
2020,June,CA,Beale AFB CDP,0.2
2020,June,CA,Bear Valley CDP,0
2020,June,CA,Bear Valley Springs CDP,0.092
2020,June,CA,Beaumont city,0.136
2020,June,CA,Beckwourth CDP,0
2020,June,CA,Belden CDP,0
2020,June,CA,Bell city,0.196
2020,June,CA,Bellflower city,0.214
2020,June,CA,Bell Gardens city,0.192
2020,June,CA,Belmont city,0.081
2020,June,CA,Benicia city,0.113
2020,June,CA,Ben Lomond CDP,0.063
