,County,Unemployment_Rate,Year,Month,State
1,Alachua County,6.5%,2020,June,FL
2,Baker County,5.9%,2020,June,FL
3,Bay County,6.9%,2020,June,FL
4,Bradford County,7.0%,2020,June,FL
5,Brevard County,8.2%,2020,June,FL
6,Broward County,11.8%,2020,June,FL
7,Calhoun County,6.2%,2020,June,FL
8,Charlotte County,9.1%,2020,June,FL
9,Citrus County,9.8%,2020,June,FL
10,Clay County,6.6%,2020,June,FL
11,Collier County,9.4%,2020,June,FL
12,Columbia County,6.8%,2020,June,FL
13,DeSoto County,5.9%,2020,June,FL
14,Dixie County,6.8%,2020,June,FL
15,Duval County,8.4%,2020,June,FL
16,Escambia County,7.9%,2020,June,FL
17,Flagler County,9.4%,2020,June,FL
18,Franklin County,6.2%,2020,June,FL
19,Gadsden County,7.4%,2020,June,FL
20,Gilchrist County,5.6%,2020,June,FL
21,Glades County,7.1%,2020,June,FL
22,Gulf County,6.8%,2020,June,FL
23,Hamilton County,8.4%,2020,June,FL
24,Hardee County,8.3%,2020,June,FL
25,Hendry County,10.6%,2020,June,FL
26,Hernando County,10.0%,2020,June,FL
27,Highlands County,8.9%,2020,June,FL
28,Hillsborough County,9.0%,2020,June,FL
29,Holmes County,6.5%,2020,June,FL
30,Indian River County,9.2%,2020,June,FL
31,Jackson County,6.9%,2020,June,FL
32,Jefferson County,6.6%,2020,June,FL
33,Lafayette County,4.8%,2020,June,FL
34,Lake County,13.8%,2020,June,FL
35,Lee County,9.6%,2020,June,FL
36,Leon County,7.0%,2020,June,FL
37,Levy County,7.3%,2020,June,FL
38,Liberty County,5.9%,2020,June,FL
39,Madison County,7.0%,2020,June,FL
40,Manatee County,8.4%,2020,June,FL
41,Marion County,8.3%,2020,June,FL
42,Martin County,7.8%,2020,June,FL
43,Miami-Dade County,11.8%,2020,June,FL
44,Monroe County,9.7%,2020,June,FL
45,Nassau County,7.2%,2020,June,FL
46,Okaloosa County,6.2%,2020,June,FL
47,Okeechobee County,6.8%,2020,June,FL
48,Orange County,16.9%,2020,June,FL
49,Osceola County,22.3%,2020,June,FL
50,Palm Beach County,10.2%,2020,June,FL
51,Pasco County,9.1%,2020,June,FL
52,Pinellas County,8.8%,2020,June,FL
53,Polk County,13.6%,2020,June,FL
54,Putnam County,9.3%,2020,June,FL
55,Santa Rosa County,6.3%,2020,June,FL
56,Sarasota County,8.5%,2020,June,FL
57,Seminole County,10.0%,2020,June,FL
58,St. Johns County,6.8%,2020,June,FL
59,St. Lucie County,9.7%,2020,June,FL
60,Sumter County,9.4%,2020,June,FL
61,Suwannee County,6.8%,2020,June,FL
62,Taylor County,7.1%,2020,June,FL
63,Union County,5.4%,2020,June,FL
64,Volusia County,9.5%,2020,June,FL
65,Wakulla County,5.6%,2020,June,FL
66,Walton County,6.8%,2020,June,FL
67,Washington County,6.8%,2020,June,FL
68,,,2020,June,FL
69,Florida (Not Seasonally Adjusted),10.5%,2020,June,FL
70,Florida (Seasonally Adjusted),10.3%,2020,June,FL
71,,,2020,June,FL
72,United States (Not Seasonally Adjusted),11.2%,2020,June,FL
73,United States (Seasonally Adjusted),11.1%,2020,June,FL
74,,,2020,June,FL
75,"Friday, August 21, 2020",,2020,June,FL
76,,,2020,June,FL
77,NOTE: Items may not add to totals or compute to displayed percentages due to rounding.  All data are subject to revision.,,2020,June,FL
78,,,2020,June,FL
79,,,2020,June,FL
80,,,2020,June,FL
81,,,2020,June,FL
82,,,2020,June,FL
